Data Import Template
Table:,Storage Location
""
""
Notes:
Please do not change the template headings.
First data column must be blank.
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.
"For updating, you can update only selective columns."
You can only upload upto 5000 records in one go. (may be less in some cases)
""
DocType:,Storage Location,,,,,,,,,,,,,,,,,,,,,~,Storage Location Pallet Log,pallet_log,,,,,,,,,,,,,
Column Labels:,ID,Location Code,Location Type,Warehouse,Barcode / QR Value,Created On,Created By,Location Name,Zone,Enabled,Full,Machine / Aisle,Tray,Cell,Rack Number,Pallet Capacity,Allow Multiple Pallets,Maximum Length (mm),Maximum Width (mm),Maximum Height (mm),Maximum Weight (kg),,ID,Pallet,Event,Occurred At,Created On,Created By,Occurred By,Warehouse,Putaway Record,Stock Entry,Source Operation,Multi-Pallet Allowed,Pallet Capacity At Write,Pallets Present After,Note
,,VSS-17,V-Store Cell,Stores - EE,VSS-17,,,VSRS Tray 17,VSS,1,0,VSRS,17,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-18,V-Store Cell,Stores - EE,VSS-18,,,VSRS Tray 18,VSS,1,0,VSRS,18,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-20,V-Store Cell,Stores - EE,VSS-20,,,VSRS Tray 20,VSS,1,0,VSRS,20,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-21,V-Store Cell,Stores - EE,VSS-21,,,VSRS Tray 21,VSS,1,0,VSRS,21,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-22,V-Store Cell,Stores - EE,VSS-22,,,VSRS Tray 22,VSS,1,0,VSRS,22,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-23,V-Store Cell,Stores - EE,VSS-23,,,VSRS Tray 23,VSS,1,0,VSRS,23,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-24,V-Store Cell,Stores - EE,VSS-24,,,VSRS Tray 24,VSS,1,0,VSRS,24,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-25,V-Store Cell,Stores - EE,VSS-25,,,VSRS Tray 25,VSS,1,0,VSRS,25,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-26,V-Store Cell,Stores - EE,VSS-26,,,VSRS Tray 26,VSS,1,0,VSRS,26,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-27,V-Store Cell,Stores - EE,VSS-27,,,VSRS Tray 27,VSS,1,0,VSRS,27,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-28,V-Store Cell,Stores - EE,VSS-28,,,VSRS Tray 28,VSS,1,0,VSRS,28,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-29,V-Store Cell,Stores - EE,VSS-29,,,VSRS Tray 29,VSS,1,0,VSRS,29,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-30,V-Store Cell,Stores - EE,VSS-30,,,VSRS Tray 30,VSS,1,0,VSRS,30,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-31,V-Store Cell,Stores - EE,VSS-31,,,VSRS Tray 31,VSS,1,0,VSRS,31,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-32,V-Store Cell,Stores - EE,VSS-32,,,VSRS Tray 32,VSS,1,0,VSRS,32,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-33,V-Store Cell,Stores - EE,VSS-33,,,VSRS Tray 33,VSS,1,0,VSRS,33,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-34,V-Store Cell,Stores - EE,VSS-34,,,VSRS Tray 34,VSS,1,0,VSRS,34,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-35,V-Store Cell,Stores - EE,VSS-35,,,VSRS Tray 35,VSS,1,0,VSRS,35,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-36,V-Store Cell,Stores - EE,VSS-36,,,VSRS Tray 36,VSS,1,0,VSRS,36,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-37,V-Store Cell,Stores - EE,VSS-37,,,VSRS Tray 37,VSS,1,0,VSRS,37,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-38,V-Store Cell,Stores - EE,VSS-38,,,VSRS Tray 38,VSS,1,0,VSRS,38,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-39,V-Store Cell,Stores - EE,VSS-39,,,VSRS Tray 39,VSS,1,0,VSRS,39,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-40,V-Store Cell,Stores - EE,VSS-40,,,VSRS Tray 40,VSS,1,0,VSRS,40,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-41,V-Store Cell,Stores - EE,VSS-41,,,VSRS Tray 41,VSS,1,0,VSRS,41,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-42,V-Store Cell,Stores - EE,VSS-42,,,VSRS Tray 42,VSS,1,0,VSRS,42,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-43,V-Store Cell,Stores - EE,VSS-43,,,VSRS Tray 43,VSS,1,0,VSRS,43,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-44,V-Store Cell,Stores - EE,VSS-44,,,VSRS Tray 44,VSS,1,0,VSRS,44,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-46,V-Store Cell,Stores - EE,VSS-46,,,VSRS Tray 46,VSS,1,0,VSRS,46,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-47,V-Store Cell,Stores - EE,VSS-47,,,VSRS Tray 47,VSS,1,0,VSRS,47,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-48,V-Store Cell,Stores - EE,VSS-48,,,VSRS Tray 48,VSS,1,0,VSRS,48,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-49,V-Store Cell,Stores - EE,VSS-49,,,VSRS Tray 49,VSS,1,0,VSRS,49,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-50,V-Store Cell,Stores - EE,VSS-50,,,VSRS Tray 50,VSS,1,0,VSRS,50,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-51,V-Store Cell,Stores - EE,VSS-51,,,VSRS Tray 51,VSS,1,0,VSRS,51,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-52,V-Store Cell,Stores - EE,VSS-52,,,VSRS Tray 52,VSS,1,0,VSRS,52,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-53,V-Store Cell,Stores - EE,VSS-53,,,VSRS Tray 53,VSS,1,0,VSRS,53,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-54,V-Store Cell,Stores - EE,VSS-54,,,VSRS Tray 54,VSS,1,0,VSRS,54,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-55,V-Store Cell,Stores - EE,VSS-55,,,VSRS Tray 55,VSS,1,0,VSRS,55,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,PZ-AL1,Hi-Rise Rack,Stores - EE,PZ-AL1,,,Putaway Rack A Level 1,Putaway,1,0,PZ,,,A,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,PZ-AL2,Hi-Rise Rack,Stores - EE,PZ-AL2,,,Putaway Rack A Level 2,Putaway,1,0,PZ,,,A,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,PZ-AL3,Hi-Rise Rack,Stores - EE,PZ-AL3,,,Putaway Rack A Level 3,Putaway,1,0,PZ,,,A,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,PZ-BL1,Hi-Rise Rack,Stores - EE,PZ-BL1,,,Putaway Rack B Level 1,Putaway,1,0,PZ,,,B,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,PZ-BL2,Hi-Rise Rack,Stores - EE,PZ-BL2,,,Putaway Rack B Level 2,Putaway,1,0,PZ,,,B,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,PZ-BL3,Hi-Rise Rack,Stores - EE,PZ-BL3,,,Putaway Rack B Level 3,Putaway,1,0,PZ,,,B,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,PZ-BL4,Hi-Rise Rack,Stores - EE,PZ-BL4,,,Putaway Rack B Level 4,Putaway,1,0,PZ,,,B,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,PZ-CL1,Hi-Rise Rack,Stores - EE,PZ-CL1,,,Putaway Rack C Level 1,Putaway,1,0,PZ,,,C,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,PZ-CL2,Hi-Rise Rack,Stores - EE,PZ-CL2,,,Putaway Rack C Level 2,Putaway,1,0,PZ,,,C,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,PZ-CL3,Hi-Rise Rack,Stores - EE,PZ-CL3,,,Putaway Rack C Level 3,Putaway,1,0,PZ,,,C,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,PZ-CL4,Hi-Rise Rack,Stores - EE,PZ-CL4,,,Putaway Rack C Level 4,Putaway,1,0,PZ,,,C,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,PZ-DL1,Hi-Rise Rack,Stores - EE,PZ-DL1,,,Putaway Rack D Level 1,Putaway,1,0,PZ,,,D,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,PZ-DL2,Hi-Rise Rack,Stores - EE,PZ-DL2,,,Putaway Rack D Level 2,Putaway,1,0,PZ,,,D,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,PZ-DL3,Hi-Rise Rack,Stores - EE,PZ-DL3,,,Putaway Rack D Level 3,Putaway,1,0,PZ,,,D,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,PZ-DL4,Hi-Rise Rack,Stores - EE,PZ-DL4,,,Putaway Rack D Level 4,Putaway,1,0,PZ,,,D,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BA-CL4,Floor Area,Stores - EE,BA-CL4,,,Basement Cl4,Basement Storage,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BA-FLOOR2,Floor Area,Stores - EE,BA-FLOOR2,,,Basement Floor2,Basement Storage,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BA-KITTING,Floor Area,Stores - EE,BA-KITTING,,,Basement Kitting,Basement Storage,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-AL1,Hi-Rise Rack,Stores - EE,BS-AL1,,,Basement Shelf A Level 1,Basement Storage,1,0,BS,,,A,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-AL2,Hi-Rise Rack,Stores - EE,BS-AL2,,,Basement Shelf A Level 2,Basement Storage,1,0,BS,,,A,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-AL3,Hi-Rise Rack,Stores - EE,BS-AL3,,,Basement Shelf A Level 3,Basement Storage,1,0,BS,,,A,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-AL4,Hi-Rise Rack,Stores - EE,BS-AL4,,,Basement Shelf A Level 4,Basement Storage,1,0,BS,,,A,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-BL0,Hi-Rise Rack,Stores - EE,BS-BL0,,,Basement Shelf B Level 0,Basement Storage,1,0,BS,,,B,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-BL1,Hi-Rise Rack,Stores - EE,BS-BL1,,,Basement Shelf B Level 1,Basement Storage,1,0,BS,,,B,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-BL2,Hi-Rise Rack,Stores - EE,BS-BL2,,,Basement Shelf B Level 2,Basement Storage,1,0,BS,,,B,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-BL3,Hi-Rise Rack,Stores - EE,BS-BL3,,,Basement Shelf B Level 3,Basement Storage,1,0,BS,,,B,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-BL4,Hi-Rise Rack,Stores - EE,BS-BL4,,,Basement Shelf B Level 4,Basement Storage,1,0,BS,,,B,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-CL0,Hi-Rise Rack,Stores - EE,BS-CL0,,,Basement Shelf C Level 0,Basement Storage,1,0,BS,,,C,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-CL1,Hi-Rise Rack,Stores - EE,BS-CL1,,,Basement Shelf C Level 1,Basement Storage,1,0,BS,,,C,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-CL2,Hi-Rise Rack,Stores - EE,BS-CL2,,,Basement Shelf C Level 2,Basement Storage,1,0,BS,,,C,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-CL3,Hi-Rise Rack,Stores - EE,BS-CL3,,,Basement Shelf C Level 3,Basement Storage,1,0,BS,,,C,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-DL1,Hi-Rise Rack,Stores - EE,BS-DL1,,,Basement Shelf D Level 1,Basement Storage,1,0,BS,,,D,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-DL2,Hi-Rise Rack,Stores - EE,BS-DL2,,,Basement Shelf D Level 2,Basement Storage,1,0,BS,,,D,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-DL3,Hi-Rise Rack,Stores - EE,BS-DL3,,,Basement Shelf D Level 3,Basement Storage,1,0,BS,,,D,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-DL4,Hi-Rise Rack,Stores - EE,BS-DL4,,,Basement Shelf D Level 4,Basement Storage,1,0,BS,,,D,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-EL1,Hi-Rise Rack,Stores - EE,BS-EL1,,,Basement Shelf E Level 1,Basement Storage,1,0,BS,,,E,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-EL2,Hi-Rise Rack,Stores - EE,BS-EL2,,,Basement Shelf E Level 2,Basement Storage,1,0,BS,,,E,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-EL3,Hi-Rise Rack,Stores - EE,BS-EL3,,,Basement Shelf E Level 3,Basement Storage,1,0,BS,,,E,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-FL1,Hi-Rise Rack,Stores - EE,BS-FL1,,,Basement Shelf F Level 1,Basement Storage,1,0,BS,,,F,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-FL2,Hi-Rise Rack,Stores - EE,BS-FL2,,,Basement Shelf F Level 2,Basement Storage,1,0,BS,,,F,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-FL3,Hi-Rise Rack,Stores - EE,BS-FL3,,,Basement Shelf F Level 3,Basement Storage,1,0,BS,,,F,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-FLOOR1,Floor Area,Stores - EE,BS-FLOOR1,,,Basement Floor1,Basement Storage,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-FLOOR2,Floor Area,Stores - EE,BS-FLOOR2,,,Basement Floor2,Basement Storage,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-GL1,Hi-Rise Rack,Stores - EE,BS-GL1,,,Basement Shelf G Level 1,Basement Storage,1,0,BS,,,G,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-GL2,Hi-Rise Rack,Stores - EE,BS-GL2,,,Basement Shelf G Level 2,Basement Storage,1,0,BS,,,G,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-GL3,Hi-Rise Rack,Stores - EE,BS-GL3,,,Basement Shelf G Level 3,Basement Storage,1,0,BS,,,G,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-HL1,Hi-Rise Rack,Stores - EE,BS-HL1,,,Basement Shelf H Level 1,Basement Storage,1,0,BS,,,H,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-HL2,Hi-Rise Rack,Stores - EE,BS-HL2,,,Basement Shelf H Level 2,Basement Storage,1,0,BS,,,H,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-HL3,Hi-Rise Rack,Stores - EE,BS-HL3,,,Basement Shelf H Level 3,Basement Storage,1,0,BS,,,H,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,BS-KITTING,Floor Area,Stores - EE,BS-KITTING,,,Basement Kitting,Basement Storage,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,CS-AL3,Hi-Rise Rack,Stores - EE,CS-AL3,,,Cold Storage Rack A Level 3,Cold Storage,1,0,CS,,,A,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,CS-AL4,Hi-Rise Rack,Stores - EE,CS-AL4,,,Cold Storage Rack A Level 4,Cold Storage,1,0,CS,,,A,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,CS-AL5,Hi-Rise Rack,Stores - EE,CS-AL5,,,Cold Storage Rack A Level 5,Cold Storage,1,0,CS,,,A,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,CS-BL3,Hi-Rise Rack,Stores - EE,CS-BL3,,,Cold Storage Rack B Level 3,Cold Storage,1,0,CS,,,B,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,CS-BL4,Hi-Rise Rack,Stores - EE,CS-BL4,,,Cold Storage Rack B Level 4,Cold Storage,1,0,CS,,,B,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,CS-BL5,Hi-Rise Rack,Stores - EE,CS-BL5,,,Cold Storage Rack B Level 5,Cold Storage,1,0,CS,,,B,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,CS-CL3,Hi-Rise Rack,Stores - EE,CS-CL3,,,Cold Storage Rack C Level 3,Cold Storage,1,0,CS,,,C,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,CS-DL1,Hi-Rise Rack,Stores - EE,CS-DL1,,,Cold Storage Rack D Level 1,Cold Storage,1,0,CS,,,D,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,CS-DL3,Hi-Rise Rack,Stores - EE,CS-DL3,,,Cold Storage Rack D Level 3,Cold Storage,1,0,CS,,,D,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,CS-DL4,Hi-Rise Rack,Stores - EE,CS-DL4,,,Cold Storage Rack D Level 4,Cold Storage,1,0,CS,,,D,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,CS-DL5,Hi-Rise Rack,Stores - EE,CS-DL5,,,Cold Storage Rack D Level 5,Cold Storage,1,0,CS,,,D,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,CS-FRIDGE,Floor Area,Stores - EE,CS-FRIDGE,,,Cold Storage Refrigerator,Cold Storage,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-AL2,Quarantine,Rejection - EE,RZ-AL2,,,Rejection Zone Rack A Level 2,QC Reject,1,0,RZ,,,A,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-AL3,Quarantine,Rejection - EE,RZ-AL3,,,Rejection Zone Rack A Level 3,QC Reject,1,0,RZ,,,A,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-AL4,Quarantine,Rejection - EE,RZ-AL4,,,Rejection Zone Rack A Level 4,QC Reject,1,0,RZ,,,A,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-BL1,Quarantine,Rejection - EE,RZ-BL1,,,Rejection Zone Rack B Level 1,QC Reject,1,0,RZ,,,B,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-BL2,Quarantine,Rejection - EE,RZ-BL2,,,Rejection Zone Rack B Level 2,QC Reject,1,0,RZ,,,B,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-BL3,Quarantine,Rejection - EE,RZ-BL3,,,Rejection Zone Rack B Level 3,QC Reject,1,0,RZ,,,B,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-BL4,Quarantine,Rejection - EE,RZ-BL4,,,Rejection Zone Rack B Level 4,QC Reject,1,0,RZ,,,B,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-CL1,Quarantine,Rejection - EE,RZ-CL1,,,Rejection Zone Rack C Level 1,QC Reject,1,0,RZ,,,C,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-CL2,Quarantine,Rejection - EE,RZ-CL2,,,Rejection Zone Rack C Level 2,QC Reject,1,0,RZ,,,C,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-CL3,Quarantine,Rejection - EE,RZ-CL3,,,Rejection Zone Rack C Level 3,QC Reject,1,0,RZ,,,C,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-CL4,Quarantine,Rejection - EE,RZ-CL4,,,Rejection Zone Rack C Level 4,QC Reject,1,0,RZ,,,C,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-CL5,Quarantine,Rejection - EE,RZ-CL5,,,Rejection Zone Rack C Level 5,QC Reject,1,0,RZ,,,C,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-DL1,Quarantine,Rejection - EE,RZ-DL1,,,Rejection Zone Rack D Level 1,QC Reject,1,0,RZ,,,D,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
